file, segment, start, end, dur, filedur, mean_intensity
engl310_01_original,pau ,47.051,47.094,0.043,169.260,53.811,
engl310_01_original,uh,47.094,47.285,0.191,169.260,79.997,
engl310_01_original,pau,47.285,47.317,0.032,169.260,48.785,
engl310_01_original,in,47.317,47.452,0.136,169.260,53.290,
engl310_01_original,pau,47.452,47.610,0.158,169.260,46.716,
engl310_01_original,np,47.610,50.667,3.057,169.260,83.406,
engl310_01_original,other: gl,50.667,50.725,0.058,169.260,63.363,
engl310_01_original,uh,50.725,50.914,0.189,169.260,82.690,
engl310_01_original,pau,50.914,50.959,0.045,169.260,57.876,
engl310_01_original,in,50.959,51.158,0.198,169.260,56.648,
engl310_01_original,pau,51.158,51.216,0.058,169.260,50.899,
engl310_01_original,np,51.216,52.092,0.876,169.260,82.958,
engl310_01_original,pau,52.092,52.328,0.236,169.260,51.031,
engl310_01_original,np,52.328,52.573,0.245,169.260,85.714,
engl310_01_original,pau,52.573,52.809,0.236,169.260,47.004,
engl310_01_original,np,52.809,53.968,1.159,169.260,83.777,
engl310_01_original,pau,53.968,54.014,0.046,169.260,46.383,
engl310_01_original,in,54.014,54.202,0.188,169.260,54.524,
engl310_01_original,other: gl,54.202,54.271,0.069,169.260,60.566,
engl310_01_original,np,54.271,55.645,1.374,169.260,84.612,
engl310_01_original,pau,55.645,55.913,0.267,169.260,48.411,
engl310_01_original,np,55.913,56.795,0.883,169.260,80.115,
engl310_01_original,pau,56.795,57.169,0.374,169.260,46.458,
engl310_01_original,np,57.169,57.777,0.608,169.260,83.929,
engl310_01_original,pau,57.777,58.594,0.817,169.260,44.398,
engl310_01_original,cl,58.594,58.752,0.158,169.260,61.382,
engl310_01_original,np,58.752,60.338,1.586,169.260,86.047,
engl310_01_original,pau,60.338,60.380,0.042,169.260,58.528,
engl310_01_original,in,60.380,60.596,0.216,169.260,57.365,
engl310_01_original,pau,60.596,60.629,0.033,169.260,47.389,
engl310_01_original,other: gl,60.629,60.688,0.060,169.260,65.122,
engl310_01_original,uh,60.688,60.939,0.250,169.260,86.269,
engl310_01_original,other: gl,60.939,60.999,0.060,169.260,60.490,
engl310_01_original,pau,60.999,61.167,0.168,169.260,46.166,
engl310_01_original,np,61.167,63.167,2.000,169.260,83.538,
engl310_01_original,pau,63.167,63.188,0.021,169.260,55.152,
engl310_01_original,in,63.188,63.392,0.204,169.260,51.827,
engl310_01_original,pau,63.392,63.469,0.077,169.260,42.244,
engl310_01_original,np,63.469,64.053,0.584,169.260,84.457,
engl310_01_original,pau,64.053,64.090,0.037,169.260,48.237,
engl310_01_original,in,64.090,64.367,0.277,169.260,59.283,
engl310_01_original,pau,64.367,64.407,0.040,169.260,52.401,
engl310_01_original,other: gl,64.407,64.479,0.072,169.260,71.486,
engl310_01_original,uh,64.479,64.714,0.236,169.260,86.607,
engl310_01_original,pau,64.714,64.764,0.049,169.260,61.142,
engl310_01_original,in,64.764,64.968,0.204,169.260,57.524,
engl310_01_original,pau,64.968,64.992,0.024,169.260,48.083,
engl310_01_original,np,64.992,65.725,0.733,169.260,83.571,
engl310_01_original,pau,65.725,65.820,0.095,169.260,52.982,
engl310_01_original,other: gl,65.820,65.905,0.085,169.260,67.716,
engl310_01_original,uh,65.905,66.176,0.271,169.260,87.789,
engl310_01_original,other: gl,66.176,66.311,0.135,169.260,76.862,
engl310_01_original,pau,66.311,66.447,0.136,169.260,48.227,
engl310_01_original,uh,66.447,66.705,0.258,169.260,84.637,
engl310_01_original,np,66.705,66.821,0.116,169.260,66.445,
engl310_01_original,pau,66.821,66.909,0.088,169.260,44.327,
engl310_01_original,np,66.909,68.012,1.103,169.260,85.045,
engl310_01_original,pau,68.012,68.077,0.065,169.260,54.679,
engl310_01_original,in,68.077,68.336,0.259,169.260,57.395,
engl310_01_original,other: gl,68.336,68.420,0.085,169.260,64.154,
engl310_01_original,uh,68.420,68.667,0.247,169.260,87.399,
engl310_01_original,other: gl,68.667,68.736,0.069,169.260,76.397,
engl310_01_original,np,68.736,69.318,0.582,169.260,84.381,
engl310_01_original,other: gl,69.318,69.379,0.061,169.260,65.684,
engl310_01_original,uh,69.379,69.613,0.234,169.260,87.059,
engl310_01_original,pau,69.613,69.654,0.041,169.260,62.317,
engl310_01_original,in,69.654,69.874,0.220,169.260,59.733,
engl310_01_original,pau,69.874,70.114,0.240,169.260,55.701,
engl310_01_original,np,70.114,71.612,1.498,169.260,84.135,
engl310_01_original,pau,71.612,71.640,0.027,169.260,56.147,
engl310_01_original,in,71.640,71.759,0.120,169.260,53.387,
engl310_01_original,pau,71.759,71.816,0.056,169.260,50.373,
engl310_01_original,other: gl,71.816,71.878,0.062,169.260,66.631,
engl310_01_original,pau,71.878,72.078,0.201,169.260,60.520,
engl310_01_original,np,72.078,72.468,0.390,169.260,85.113,
engl310_01_original,uh,72.468,72.711,0.243,169.260,84.938,
engl310_01_original,np,72.711,75.909,3.198,169.260,84.401,
engl310_01_original,pau,75.909,76.165,0.256,169.260,50.012,
engl310_01_original,in,76.165,76.280,0.115,169.260,55.588,
engl310_01_original,pau,76.280,76.342,0.062,169.260,54.128,
engl310_01_original,np,76.342,76.948,0.605,169.260,85.299,
engl310_01_original,pau,76.948,77.081,0.133,169.260,45.050,
engl310_01_original,other: throat clear,77.081,77.417,0.337,169.260,80.402,
engl310_01_original,pau,77.417,77.529,0.112,169.260,43.110,
engl310_01_original,cl,77.529,77.573,0.044,169.260,51.243,
engl310_01_original,in,77.573,77.826,0.253,169.260,62.109,
engl310_01_original,pau,77.826,77.850,0.024,169.260,51.858,
engl310_01_original,uh,77.850,78.169,0.319,169.260,87.194,
engl310_01_original,np,78.169,78.537,0.368,169.260,85.231,
engl310_01_original,pau,78.537,78.915,0.379,169.260,49.760,
engl310_01_original,np,78.915,86.453,7.537,169.260,84.699,
engl310_01_original,pau,86.453,86.478,0.025,169.260,50.020,
engl310_01_original,in,86.478,86.744,0.266,169.260,62.418,
engl310_01_original,pau,86.744,86.793,0.049,169.260,56.979,
engl310_01_original,np,86.793,89.054,2.261,169.260,83.941,
engl310_01_original,pau,89.054,89.649,0.595,169.260,44.222,
engl310_01_original,cl,89.649,89.745,0.096,169.260,64.797,
engl310_01_original,in,89.745,89.979,0.234,169.260,61.780,
engl310_01_original,pau,89.979,89.993,0.014,169.260,62.626,
engl310_01_original,np,89.993,90.811,0.818,169.260,83.817,
engl310_01_original,in,90.811,90.958,0.147,169.260,51.042,
engl310_01_original,pau,90.958,90.990,0.032,169.260,45.601,
engl310_01_original,np,90.990,92.012,1.022,169.260,85.214,
engl310_01_original,pau,92.012,92.035,0.023,169.260,55.377,
engl310_01_original,in,92.035,92.218,0.183,169.260,59.775,
engl310_01_original,pau,92.218,92.256,0.038,169.260,54.091,
engl310_01_original,np,92.256,96.058,3.802,169.260,83.765,
engl310_01_original,pau,96.058,96.791,0.733,169.260,46.252,
engl310_01_original,cl,96.791,96.953,0.162,169.260,60.760,
engl310_01_original,other: gl,96.953,96.996,0.044,169.260,64.329,
engl310_01_original,uh,96.996,97.198,0.202,169.260,85.152,
engl310_01_original,np,97.198,98.639,1.440,169.260,84.430,
engl310_01_original,pau,98.639,98.678,0.039,169.260,57.994,
engl310_01_original,in,98.678,98.917,0.238,169.260,59.164,
engl310_01_original,pau,98.917,98.947,0.031,169.260,58.023,
engl310_01_original,uh,98.947,99.200,0.252,169.260,84.864,
engl310_01_original,np,99.200,100.012,0.812,169.260,86.132,
engl310_01_original,pau,100.012,100.070,0.059,169.260,51.905,
engl310_01_original,in,100.070,100.267,0.197,169.260,53.804,
engl310_01_original,other: gl,100.267,100.320,0.053,169.260,60.532,
engl310_01_original,uh,100.320,100.643,0.324,169.260,85.012,
engl310_01_original,pau,100.643,100.851,0.208,169.260,49.121,
engl310_01_original,np,100.851,101.672,0.820,169.260,81.322,
engl310_01_original,in,101.672,101.828,0.157,169.260,52.937,
engl310_01_original,pau,101.828,101.989,0.160,169.260,44.652,
engl310_01_original,np,101.989,102.835,0.846,169.260,84.083,
engl310_01_original,pau,102.835,103.163,0.328,169.260,47.416,
engl310_01_original,uh,103.163,103.512,0.349,169.260,85.582,
engl310_01_original,other: gl,103.512,103.597,0.085,169.260,75.818,
engl310_01_original,np,103.597,105.026,1.430,169.260,83.524,
engl310_01_original,pau,105.026,105.062,0.036,169.260,47.963,
engl310_01_original,in,105.062,105.341,0.279,169.260,59.335,
engl310_01_original,pau,105.341,105.408,0.067,169.260,53.293,
engl310_01_original,np,105.408,105.688,0.279,169.260,88.787,
engl310_01_original,in,105.688,105.924,0.237,169.260,54.758,
engl310_01_original,pau,105.924,105.970,0.045,169.260,44.932,
engl310_01_original,np,105.970,108.839,2.869,169.260,83.738,
engl310_01_original,uh,108.839,109.059,0.221,169.260,88.726,
engl310_01_original,np,109.059,110.267,1.208,169.260,84.440,
engl310_01_original,pau,110.267,110.311,0.044,169.260,60.187,
engl310_01_original,in,110.311,110.545,0.234,169.260,56.097,
engl310_01_original,pau,110.545,110.594,0.050,169.260,48.554,
engl310_01_original,other: gl,110.594,110.640,0.045,169.260,72.038,
engl310_01_original,uh,110.640,111.027,0.388,169.260,86.792,
engl310_01_original,np,111.027,111.544,0.517,169.260,83.343,
engl310_01_original,pau,111.544,111.566,0.022,169.260,55.682,
engl310_01_original,in,111.566,111.825,0.259,169.260,56.986,
engl310_01_original,pau,111.825,111.858,0.033,169.260,49.722,
engl310_01_original,other: gl,111.858,111.904,0.047,169.260,68.702,
engl310_01_original,uhm,111.904,112.275,0.371,169.260,85.560,
engl310_01_original,other: gl,112.275,112.696,0.421,169.260,72.834,
engl310_01_original,np,112.696,114.539,1.843,169.260,82.399,
engl310_01_original,pau,114.539,114.570,0.031,169.260,59.492,
engl310_01_original,in,114.570,114.805,0.235,169.260,59.178,
engl310_01_original,pau,114.805,114.841,0.035,169.260,51.531,
engl310_01_original,other: gl,114.841,114.887,0.047,169.260,71.084,
engl310_01_original,uh,114.887,115.141,0.254,169.260,87.392,
engl310_01_original,pau,115.141,115.206,0.065,169.260,59.235,
engl310_01_original,in,115.206,115.412,0.206,169.260,54.798,
engl310_01_original,pau,115.412,115.443,0.030,169.260,43.987,
engl310_01_original,other: gl,115.443,115.531,0.088,169.260,62.110,
engl310_01_original,uh,115.531,115.854,0.323,169.260,86.057,
engl310_01_original,other: gl,115.854,116.176,0.322,169.260,73.923,
engl310_01_original,pau,116.176,116.330,0.153,169.260,47.620,
engl310_01_original,np,116.330,117.127,0.797,169.260,86.226,
engl310_01_original,pau,117.127,117.170,0.043,169.260,54.347,
engl310_01_original,in,117.170,117.328,0.159,169.260,55.798,
engl310_01_original,pau,117.328,117.369,0.041,169.260,49.905,
engl310_01_original,uhm,117.369,117.799,0.430,169.260,85.140,
engl310_01_original,np,117.799,121.260,3.461,169.260,83.126,
engl310_01_original,pau,121.260,121.292,0.032,169.260,50.015,
engl310_01_original,in,121.292,121.406,0.114,169.260,50.501,
engl310_01_original,pau,121.406,121.495,0.089,169.260,41.699,
engl310_01_original,np,121.495,122.377,0.882,169.260,82.964,
engl310_01_original,pau,122.377,122.420,0.043,169.260,50.875,
engl310_01_original,in,122.420,122.686,0.266,169.260,57.406,
engl310_01_original,pau,122.686,122.733,0.047,169.260,46.585,
engl310_01_original,other: gl,122.733,122.774,0.041,169.260,67.290,
engl310_01_original,uh,122.774,123.066,0.292,169.260,85.748,
engl310_01_original,np,123.066,123.585,0.518,169.260,85.854,
engl310_01_original,pau,123.585,123.605,0.020,169.260,51.006,
engl310_01_original,in,123.605,123.790,0.185,169.260,53.872,
engl310_01_original,pau,123.790,123.835,0.045,169.260,46.108,
engl310_01_original,other: gl,123.835,123.884,0.049,169.260,73.076,
engl310_01_original,uh,123.884,124.098,0.214,169.260,86.249,
engl310_01_original,np,124.098,125.673,1.576,169.260,85.797,
engl310_01_original,pau,125.673,125.724,0.050,169.260,50.540,
engl310_01_original,in,125.724,125.858,0.134,169.260,49.854,
engl310_01_original,pau,125.858,125.923,0.065,169.260,44.828,
engl310_01_original,np,125.923,128.185,2.262,169.260,84.062,
engl310_01_original,pau,128.185,128.312,0.127,169.260,49.311,
engl310_01_original,other: throat clear,128.312,128.709,0.397,169.260,75.121,
engl310_01_original,pau,128.709,128.857,0.148,169.260,46.424,
engl310_01_original,in,128.857,129.113,0.256,169.260,58.765,
engl310_01_original,pau,129.113,129.162,0.049,169.260,49.636,
engl310_01_original,np,129.162,132.012,2.850,169.260,82.750,
engl310_01_original,pau,132.012,132.061,0.048,169.260,55.829,
engl310_01_original,in,132.061,132.385,0.324,169.260,55.778,
engl310_01_original,other: gl,132.385,132.505,0.120,169.260,62.478,
engl310_01_original,uh,132.505,132.838,0.333,169.260,82.906,
engl310_01_original,pau,132.838,133.025,0.187,169.260,54.507,
engl310_01_original,np,133.025,134.923,1.898,169.260,81.258,
engl310_01_original,pau,134.923,135.245,0.322,169.260,46.879,
engl310_01_original,uh,135.245,135.410,0.165,169.260,81.833,
engl310_01_original,np,135.410,136.800,1.390,169.260,80.116,
engl310_01_original,pau,136.800,136.830,0.030,169.260,47.080,
engl310_01_original,in,136.830,136.967,0.137,169.260,49.756,
engl310_01_original,pau,136.967,137.011,0.044,169.260,46.032,
engl310_01_original,other: gl,137.011,137.083,0.072,169.260,63.279,
engl310_01_original,uh,137.083,137.238,0.156,169.260,81.410,
engl310_01_original,np,137.238,137.513,0.275,169.260,81.659,
engl310_01_original,in,137.513,137.653,0.140,169.260,53.115,
engl310_01_original,pau,137.653,137.762,0.110,169.260,48.366,
engl310_01_original,np,137.762,138.836,1.074,169.260,80.338,
engl310_01_original,pau,138.836,138.864,0.028,169.260,56.026,
engl310_01_original,in,138.864,139.153,0.289,169.260,52.420,
engl310_01_original,pau,139.153,139.269,0.116,169.260,52.146,
engl310_01_original,uh,139.269,139.540,0.271,169.260,78.152,
engl310_01_original,np,139.540,141.557,2.017,169.260,80.261,
engl310_01_original,uh,141.557,141.740,0.183,169.260,79.963,
engl310_01_original,np,141.740,145.341,3.600,169.260,81.626,
engl310_01_original,pau,145.341,146.290,0.949,169.260,44.186,
engl310_01_original,cl,146.290,146.350,0.061,169.260,72.543,
engl310_01_original,pau,146.350,146.440,0.090,169.260,44.075,
engl310_01_original,uh,146.440,146.770,0.330,169.260,84.721,
engl310_01_original,other: gl,146.770,146.912,0.142,169.260,66.803,
engl310_01_original,pau,146.912,147.079,0.167,169.260,42.376,
engl310_01_original,np,147.079,147.377,0.298,169.260,85.936,
engl310_01_original,pau,147.377,147.456,0.079,169.260,55.842,
engl310_01_original,in,147.456,147.617,0.162,169.260,60.573,
engl310_01_original,other: gl,147.617,147.690,0.073,169.260,63.783,
engl310_01_original,uh,147.690,147.895,0.205,169.260,84.531,
engl310_01_original,np,147.895,148.876,0.980,169.260,82.548,
engl310_01_original,pau,148.876,148.900,0.025,169.260,52.720,
engl310_01_original,in,148.900,149.086,0.185,169.260,56.091,
engl310_01_original,pau,149.086,149.341,0.255,169.260,61.242,
engl310_01_original,np,149.341,149.891,0.550,169.260,85.186,
engl310_01_original,pau,149.891,149.917,0.026,169.260,54.519,
engl310_01_original,in,149.917,150.069,0.152,169.260,55.786,
engl310_01_original,other: gl,150.069,150.154,0.085,169.260,68.479,
engl310_01_original,uh,150.154,150.331,0.177,169.260,85.370,
engl310_01_original,np,150.331,151.081,0.750,169.260,84.035,
engl310_01_original,pau,151.081,151.180,0.099,169.260,45.049,
engl310_01_original,in,151.180,151.481,0.301,169.260,52.951,
engl310_01_original,pau,151.481,151.513,0.032,169.260,45.552,
engl310_01_original,other: gl,151.513,151.562,0.049,169.260,66.582,
engl310_01_original,uh,151.562,151.755,0.193,169.260,82.350,
engl310_01_original,other: gl,151.755,151.879,0.124,169.260,64.584,
engl310_01_original,pau,151.879,152.015,0.135,169.260,41.970,
engl310_01_original,np,152.015,152.903,0.889,169.260,77.149,
engl310_01_original,pau,152.903,152.957,0.053,169.260,45.886,
engl310_01_original,in,152.957,153.089,0.133,169.260,50.623,
engl310_01_original,pau,153.089,153.159,0.070,169.260,45.221,
engl310_01_original,np,153.159,154.352,1.193,169.260,79.800,
engl310_01_original,pau,154.352,154.675,0.323,169.260,47.946,
engl310_01_original,np,154.675,157.313,2.638,169.260,81.104,
engl310_01_original,pau,157.313,157.361,0.048,169.260,45.361,
engl310_01_original,in,157.361,157.577,0.215,169.260,56.448,
engl310_01_original,other: gl,157.577,157.753,0.177,169.260,50.414,
engl310_01_original,pau,157.753,157.984,0.230,169.260,41.632,
