"file","segment","start","end","dur","filedur","mean_intensity","condition"
"engl310_01_original","sil",51.158,51.216,0.058,169.26,50.899,"orig"
"engl310_01_original","sil",52.092,52.328,0.236,169.26,51.031,"orig"
"engl310_01_original","sil",52.573,52.809,0.236,169.26,47.004,"orig"
"engl310_01_original","sil",53.968,54.014,0.046,169.26,46.383,"orig"
"engl310_01_original","in",54.014,54.202,0.188,169.26,54.524,"orig"
"engl310_01_original","o",54.202,54.271,0.069,169.26,60.566,"orig"
"engl310_01_original","sil",55.645,55.913,0.267,169.26,48.411,"orig"
"engl310_01_original","sil",56.795,57.169,0.374,169.26,46.458,"orig"
"engl310_01_original","sil",57.777,58.594,0.817,169.26,44.398,"orig"
"engl310_01_original","cl",58.594,58.752,0.158,169.26,61.382,"orig"
"engl310_01_original","sil",60.338,60.38,0.042,169.26,58.528,"orig"
"engl310_01_original","in",60.38,60.596,0.216,169.26,57.365,"orig"
"engl310_01_original","sil",60.596,60.629,0.033,169.26,47.389,"orig"
"engl310_01_original","o",60.629,60.688,0.06,169.26,65.122,"orig"
"engl310_01_original","uh",60.688,60.939,0.25,169.26,86.269,"orig"
"engl310_01_original","o",60.939,60.999,0.06,169.26,60.49,"orig"
"engl310_01_original","sil",60.999,61.167,0.168,169.26,46.166,"orig"
"engl310_01_original","sil",63.167,63.188,0.021,169.26,55.152,"orig"
"engl310_01_original","in",63.188,63.392,0.204,169.26,51.827,"orig"
"engl310_01_original","sil",63.392,63.469,0.077,169.26,42.244,"orig"
"engl310_01_original","sil",64.053,64.09,0.037,169.26,48.237,"orig"
"engl310_01_original","in",64.09,64.367,0.277,169.26,59.283,"orig"
"engl310_01_original","sil",64.367,64.407,0.04,169.26,52.401,"orig"
"engl310_01_original","o",64.407,64.479,0.072,169.26,71.486,"orig"
"engl310_01_original","uh",64.479,64.714,0.236,169.26,86.607,"orig"
"engl310_01_original","sil",64.714,64.764,0.049,169.26,61.142,"orig"
"engl310_01_original","in",64.764,64.968,0.204,169.26,57.524,"orig"
"engl310_01_original","sil",64.968,64.992,0.024,169.26,48.083,"orig"
"engl310_01_original","sil",65.725,65.82,0.095,169.26,52.982,"orig"
"engl310_01_original","o",65.82,65.905,0.085,169.26,67.716,"orig"
"engl310_01_original","uh",65.905,66.176,0.271,169.26,87.789,"orig"
"engl310_01_original","o",66.176,66.311,0.135,169.26,76.862,"orig"
"engl310_01_original","sil",66.311,66.447,0.136,169.26,48.227,"orig"
"engl310_01_original","uh",66.447,66.705,0.258,169.26,84.637,"orig"
"engl310_01_original","sil",66.821,66.909,0.088,169.26,44.327,"orig"
"engl310_01_original","sil",68.012,68.077,0.065,169.26,54.679,"orig"
"engl310_01_original","in",68.077,68.336,0.259,169.26,57.395,"orig"
"engl310_01_original","o",68.336,68.42,0.085,169.26,64.154,"orig"
"engl310_01_original","uh",68.42,68.667,0.247,169.26,87.399,"orig"
"engl310_01_original","o",68.667,68.736,0.069,169.26,76.397,"orig"
"engl310_01_original","o",69.318,69.379,0.061,169.26,65.684,"orig"
"engl310_01_original","uh",69.379,69.613,0.234,169.26,87.059,"orig"
"engl310_01_original","sil",69.613,69.654,0.041,169.26,62.317,"orig"
"engl310_01_original","in",69.654,69.874,0.22,169.26,59.733,"orig"
"engl310_01_original","sil",69.874,70.114,0.24,169.26,55.701,"orig"
"engl310_01_original","sil",71.612,71.64,0.027,169.26,56.147,"orig"
"engl310_01_original","in",71.64,71.759,0.12,169.26,53.387,"orig"
"engl310_01_original","sil",71.759,71.816,0.056,169.26,50.373,"orig"
"engl310_01_original","o",71.816,71.878,0.062,169.26,66.631,"orig"
"engl310_01_original","sil",71.878,72.078,0.201,169.26,60.52,"orig"
"engl310_01_original","uh",72.468,72.711,0.243,169.26,84.938,"orig"
"engl310_01_original","sil",75.909,76.165,0.256,169.26,50.012,"orig"
"engl310_01_original","in",76.165,76.28,0.115,169.26,55.588,"orig"
"engl310_01_original","sil",76.28,76.342,0.062,169.26,54.128,"orig"
"engl310_01_original","sil",76.948,77.081,0.133,169.26,45.05,"orig"
"engl310_01_original","o",77.081,77.417,0.337,169.26,80.402,"orig"
"engl310_01_original","sil",77.417,77.529,0.112,169.26,43.11,"orig"
"engl310_01_original","cl",77.529,77.573,0.044,169.26,51.243,"orig"
"engl310_01_original","in",77.573,77.826,0.253,169.26,62.109,"orig"
"engl310_01_original","sil",77.826,77.85,0.024,169.26,51.858,"orig"
"engl310_01_original","uh",77.85,78.169,0.319,169.26,87.194,"orig"
"engl310_01_original","sil",78.537,78.915,0.379,169.26,49.76,"orig"
"engl310_01_original","sil",86.453,86.478,0.025,169.26,50.02,"orig"
"engl310_01_original","in",86.478,86.744,0.266,169.26,62.418,"orig"
"engl310_01_original","sil",86.744,86.793,0.049,169.26,56.979,"orig"
"engl310_01_original","sil",89.054,89.649,0.595,169.26,44.222,"orig"
"engl310_01_original","cl",89.649,89.745,0.096,169.26,64.797,"orig"
"engl310_01_original","in",89.745,89.979,0.234,169.26,61.78,"orig"
"engl310_01_original","sil",89.979,89.993,0.014,169.26,62.626,"orig"
"engl310_01_original","in",90.811,90.958,0.147,169.26,51.042,"orig"
"engl310_01_original","sil",90.958,90.99,0.032,169.26,45.601,"orig"
"engl310_01_original","sil",92.012,92.035,0.023,169.26,55.377,"orig"
"engl310_01_original","in",92.035,92.218,0.183,169.26,59.775,"orig"
"engl310_01_original","sil",92.218,92.256,0.038,169.26,54.091,"orig"
"engl310_01_original","sil",96.058,96.791,0.733,169.26,46.252,"orig"
"engl310_01_original","cl",96.791,96.953,0.162,169.26,60.76,"orig"
"engl310_01_original","o",96.953,96.996,0.044,169.26,64.329,"orig"
"engl310_01_original","uh",96.996,97.198,0.202,169.26,85.152,"orig"
"engl310_01_original","sil",98.639,98.678,0.039,169.26,57.994,"orig"
"engl310_01_original","in",98.678,98.917,0.238,169.26,59.164,"orig"
"engl310_01_original","sil",98.917,98.947,0.031,169.26,58.023,"orig"
"engl310_01_original","uh",98.947,99.2,0.252,169.26,84.864,"orig"
"engl310_01_original","sil",100.012,100.07,0.059,169.26,51.905,"orig"
"engl310_01_original","in",100.07,100.267,0.197,169.26,53.804,"orig"
"engl310_01_original","o",100.267,100.32,0.053,169.26,60.532,"orig"
"engl310_01_original","uh",100.32,100.643,0.324,169.26,85.012,"orig"
"engl310_01_original","sil",100.643,100.851,0.208,169.26,49.121,"orig"
"engl310_01_original","in",101.672,101.828,0.157,169.26,52.937,"orig"
"engl310_01_original","sil",101.828,101.989,0.16,169.26,44.652,"orig"
"engl310_01_original","sil",102.835,103.163,0.328,169.26,47.416,"orig"
"engl310_01_original","uh",103.163,103.512,0.349,169.26,85.582,"orig"
"engl310_01_original","o",103.512,103.597,0.085,169.26,75.818,"orig"
"engl310_01_original","sil",105.026,105.062,0.036,169.26,47.963,"orig"
"engl310_01_original","in",105.062,105.341,0.279,169.26,59.335,"orig"
"engl310_01_original","sil",105.341,105.408,0.067,169.26,53.293,"orig"
"engl310_01_original","in",105.688,105.924,0.237,169.26,54.758,"orig"
"engl310_01_original","sil",105.924,105.97,0.045,169.26,44.932,"orig"
"engl310_01_original","uh",108.839,109.059,0.221,169.26,88.726,"orig"
"engl310_01_original","sil",110.267,110.311,0.044,169.26,60.187,"orig"
"engl310_01_original","in",110.311,110.545,0.234,169.26,56.097,"orig"
"engl310_01_original","sil",110.545,110.594,0.05,169.26,48.554,"orig"
"engl310_01_original","o",110.594,110.64,0.045,169.26,72.038,"orig"
"engl310_01_original","uh",110.64,111.027,0.388,169.26,86.792,"orig"
"engl310_01_original","sil",111.544,111.566,0.022,169.26,55.682,"orig"
"engl310_01_original","in",111.566,111.825,0.259,169.26,56.986,"orig"
"engl310_01_original","sil",111.825,111.858,0.033,169.26,49.722,"orig"
"engl310_01_original","o",111.858,111.904,0.047,169.26,68.702,"orig"
"engl310_01_original","um",111.904,112.275,0.371,169.26,85.56,"orig"
"engl310_01_original","o",112.275,112.696,0.421,169.26,72.834,"orig"
"engl310_01_original","sil",114.539,114.57,0.031,169.26,59.492,"orig"
"engl310_01_original","in",114.57,114.805,0.235,169.26,59.178,"orig"
"engl310_01_original","sil",114.805,114.841,0.035,169.26,51.531,"orig"
"engl310_01_original","o",114.841,114.887,0.047,169.26,71.084,"orig"
"engl310_01_original","uh",114.887,115.141,0.254,169.26,87.392,"orig"
"engl310_01_original","sil",115.141,115.206,0.065,169.26,59.235,"orig"
"engl310_01_original","in",115.206,115.412,0.206,169.26,54.798,"orig"
"engl310_01_original","sil",115.412,115.443,0.03,169.26,43.987,"orig"
"engl310_01_original","o",115.443,115.531,0.088,169.26,62.11,"orig"
"engl310_01_original","uh",115.531,115.854,0.323,169.26,86.057,"orig"
"engl310_01_original","o",115.854,116.176,0.322,169.26,73.923,"orig"
"engl310_01_original","sil",116.176,116.33,0.153,169.26,47.62,"orig"
"engl310_01_original","sil",117.127,117.17,0.043,169.26,54.347,"orig"
"engl310_01_original","in",117.17,117.328,0.159,169.26,55.798,"orig"
"engl310_01_original","sil",117.328,117.369,0.041,169.26,49.905,"orig"
"engl310_01_original","um",117.369,117.799,0.43,169.26,85.14,"orig"
"engl310_01_original","sil",121.26,121.292,0.032,169.26,50.015,"orig"
"engl310_01_original","in",121.292,121.406,0.114,169.26,50.501,"orig"
"engl310_01_original","sil",121.406,121.495,0.089,169.26,41.699,"orig"
"engl310_01_original","sil",122.377,122.42,0.043,169.26,50.875,"orig"
"engl310_01_original","in",122.42,122.686,0.266,169.26,57.406,"orig"
"engl310_01_original","sil",122.686,122.733,0.047,169.26,46.585,"orig"
"engl310_01_original","o",122.733,122.774,0.041,169.26,67.29,"orig"
"engl310_01_original","uh",122.774,123.066,0.292,169.26,85.748,"orig"
"engl310_01_original","sil",123.585,123.605,0.02,169.26,51.006,"orig"
"engl310_01_original","in",123.605,123.79,0.185,169.26,53.872,"orig"
"engl310_01_original","sil",123.79,123.835,0.045,169.26,46.108,"orig"
"engl310_01_original","o",123.835,123.884,0.049,169.26,73.076,"orig"
"engl310_01_original","uh",123.884,124.098,0.214,169.26,86.249,"orig"
"engl310_01_original","sil",125.673,125.724,0.05,169.26,50.54,"orig"
"engl310_01_original","in",125.724,125.858,0.134,169.26,49.854,"orig"
"engl310_01_original","sil",125.858,125.923,0.065,169.26,44.828,"orig"
"engl310_01_original","sil",128.185,128.312,0.127,169.26,49.311,"orig"
