"id","condition","audiofile","age","ease","edu","imphear","interest","L1","notes","prep","self","test","question","answer","score","precede"
736430,"base_cg","engl310_13_synth_base.wav",36,2,"hs","no",1,"eng","no",3,"adv","none","q1",1,1,"yes"
736430,"base_cg","engl310_01_synth_base.wav",36,2,"hs","no",1,"eng","no",3,"adv","none","q1",1,1,"no"
736430,"base_cg","engl310_07_synth_base.wav",36,2,"hs","no",1,"eng","no",3,"adv","none","q1",2,0,"no"
736431,"sil_cg","engl310_07_synth_sil.wav",37,3,"hs","no",2,"eng","no",3,"adv","none","q1",4,1,"no"
736431,"sil_cg","engl310_24_synth_sil.wav",37,3,"hs","no",2,"eng","no",3,"adv","none","q1",3,1,"yes"
736431,"sil_cg","engl310_13_synth_sil.wav",37,3,"hs","no",2,"eng","no",3,"adv","none","q1",2,0,"yes"
736431,"sil_cg","engl310_01_synth_sil.wav",37,3,"hs","no",2,"eng","no",3,"adv","none","q1",1,1,"no"
736432,"base","engl310_01_synth_base.wav",32,1,"hs","no",1,"eng","no",1,"int","none","q1",1,1,"no"
736432,"base","engl310_07_synth_base.wav",32,1,"hs","no",1,"eng","no",1,"int","none","q1",2,0,"no"
736432,"base","engl310_13_synth_base.wav",32,1,"hs","no",1,"eng","no",1,"int","none","q1",2,0,"yes"
736432,"base","engl310_24_synth_base.wav",32,1,"hs","no",1,"eng","no",1,"int","none","q1",2,0,"yes"
736433,"base_cg","engl310_01_synth_base.wav",32,3,"uni","no",2,"eng","no",3,"adv","a1","q1",1,1,"no"
736433,"base_cg","engl310_13_synth_base.wav",32,3,"uni","no",2,"eng","no",3,"adv","a1","q1",1,1,"yes"
736433,"base_cg","engl310_07_synth_base.wav",32,3,"uni","no",2,"eng","no",3,"adv","a1","q1",4,1,"no"
736433,"base_cg","engl310_24_synth_base.wav",32,3,"uni","no",2,"eng","no",3,"adv","a1","q1",3,1,"yes"
736437,"sil","engl310_13_synth_sil.wav",27,4,"hs","no",3,"eng","no",3,"int","none","q1",1,1,"yes"
736437,"sil","engl310_24_synth_sil.wav",27,4,"hs","no",3,"eng","no",3,"int","none","q1",2,0,"yes"
736437,"sil","engl310_01_synth_sil.wav",27,4,"hs","no",3,"eng","no",3,"int","none","q1",3,0,"no"
736437,"sil","engl310_07_synth_sil.wav",27,4,"hs","no",3,"eng","no",3,"int","none","q1",4,1,"no"
736438,"sil_cg","engl310_07_synth_sil.wav",43,1,"hs","no",1,"eng","no",4,"adv","none","q1",4,1,"no"
736438,"sil_cg","engl310_13_synth_sil.wav",43,1,"hs","no",1,"eng","no",4,"adv","none","q1",2,0,"yes"
736438,"sil_cg","engl310_01_synth_sil.wav",43,1,"hs","no",1,"eng","no",4,"adv","none","q1",1,1,"no"
736438,"sil_cg","engl310_24_synth_sil.wav",43,1,"hs","no",1,"eng","no",4,"adv","none","q1",3,1,"yes"
736440,"sil_cg","engl310_07_synth_sil.wav",32,2,"hs","no",3,"eng","no",3,"adv","none","q1",2,0,"no"
736440,"sil_cg","engl310_24_synth_sil.wav",32,2,"hs","no",3,"eng","no",3,"adv","none","q1",1,0,"yes"
736440,"sil_cg","engl310_13_synth_sil.wav",32,2,"hs","no",3,"eng","no",3,"adv","none","q1",1,1,"yes"
736440,"sil_cg","engl310_01_synth_sil.wav",32,2,"hs","no",3,"eng","no",3,"adv","none","q1",1,1,"no"
736441,"sil","engl310_01_synth_sil.wav",40,2,"hs","no",4,"eng","no",5,"int","none","q1",1,1,"no"
736441,"sil","engl310_24_synth_sil.wav",40,2,"hs","no",4,"eng","no",5,"int","none","q1",4,0,"yes"
736441,"sil","engl310_07_synth_sil.wav",40,2,"hs","no",4,"eng","no",5,"int","none","q1",1,0,"no"
736441,"sil","engl310_13_synth_sil.wav",40,2,"hs","no",4,"eng","no",5,"int","none","q1",2,0,"yes"
736442,"base_cg","engl310_13_synth_base.wav",50,3,"uni","no",5,"eng","no",4,"adv","none","q1",1,1,"yes"
736442,"base_cg","engl310_07_synth_base.wav",50,3,"uni","no",5,"eng","no",4,"adv","none","q1",4,1,"no"
736442,"base_cg","engl310_01_synth_base.wav",50,3,"uni","no",5,"eng","no",4,"adv","none","q1",1,1,"no"
736442,"base_cg","engl310_24_synth_base.wav",50,3,"uni","no",5,"eng","no",4,"adv","none","q1",3,1,"yes"
736443,"base","engl310_24_synth_base.wav",44,2,"hs","no",2,"eng","no",3,"adv","none","q1",2,0,"yes"
736443,"base","engl310_13_synth_base.wav",44,2,"hs","no",2,"eng","no",3,"adv","none","q1",1,1,"yes"
736443,"base","engl310_07_synth_base.wav",44,2,"hs","no",2,"eng","no",3,"adv","none","q1",4,1,"no"
736443,"base","engl310_01_synth_base.wav",44,2,"hs","no",2,"eng","no",3,"adv","none","q1",1,1,"no"
736445,"base_cg","engl310_07_synth_base.wav",21,3,"uni","no",4,"eng","no",3,"adv","none","q1",4,1,"no"
